"Taxon","Photo_parameter","Dark","Light","Difference","Ratio"
"Colpomenia","AQY",0.207569458343549,0.122772542052393,-0.0847969162911569,0.591476911064589
"Colpomenia","Am",33.9598582034005,16.8278798129839,-17.1319783904166,0.495522675983931
"Colpomenia","Ik",163.607201533442,137.0654995952,-26.5417019382421,0.837771799227206
"Colpomenia","Rd",-0.344548742966204,-0.135741906425159,0.208806836541045,0.393970110749971
"Dictyota","AQY",0.307942002541703,0.139077573032331,-0.168864429509372,0.451635606329787
"Dictyota","Am",12.8130742275855,31.1688074950612,18.3557332674757,2.43257839152741
"Dictyota","Ik",41.608725415268,224.110953444777,182.502228029509,5.38615281309581
"Dictyota","Rd",0.251554012389022,0.0540374798749975,-0.197516532514025,0.214814621169429
"Galaxaura","AQY",0.134503884332498,0.122375654074901,-0.0121282302575975,0.909829888424515
"Galaxaura","Am",16.8546953797643,7.94846412774733,-8.90623125201694,0.47158752790574
"Galaxaura","Ik",125.31010136554,64.9513515399266,-60.3587498256137,0.518324946130703
"Galaxaura","Rd",-0.4276662271526,-0.120735060877725,0.306931166274875,0.282311422348168
"Jania","AQY",0.0679029168303748,0.124138383694383,0.0562354668640083,1.82817453931305
"Jania","Am",8.78277547839224,33.2531204083411,24.4703449299488,3.78617448324301
"Jania","Ik",129.343125278876,267.871382071536,138.528256792661,2.07101368158517
"Jania","Rd",-0.144030563256971,-0.392076904420246,-0.248046341163275,2.72217851235314
"Padina","AQY",0.215049809647831,0.184118291883532,-0.0309315177642997,0.856165797984413
"Padina","Am",40.5690075621483,47.0819454462712,6.51293788412293,1.16053973896565
"Padina","Ik",188.649353508309,255.715741030522,67.066387522213,1.3555081757503
"Padina","Rd",0.0866373449118526,-0.556760029066647,-0.643397373978499,-6.42632838798455
"Sargassum","AQY",0.2409982994639,0.152982833687472,-0.0880154657764286,0.634788021441568
"Sargassum","Am",5.98163280318466,30.1255228905968,24.1438900874121,5.03633771610951
"Sargassum","Ik",24.820228260908,196.920936581291,172.100708320383,7.93388902435852
"Sargassum","Rd",0.0175071210353956,-0.670135949726572,-0.687643070761968,-38.2779069369374
"Ulva","AQY",0.14464227722501,0.0986143115546302,-0.0460279656703796,0.681780689896239
"Ulva","Am",17.5998253739184,17.7312387711855,0.13141339726711,1.00746674438383
"Ulva","Ik",121.678292900073,179.803909713072,58.1256168129985,1.47769914770857
"Ulva","Rd",0.23764429676204,-0.0853604232877464,-0.323004720049786,-0.359194074719244
